数据集名称,数据集路径,数据集所属组别,负责人,任务大类,任务子类,建议新增任务类别,检索关键词,数据类型,标注类型,数据标注格式,数据集封面(1:1格式),【建议填】数据集来源,【建议填】数据集来源占比,【建议填】标注方式,【建议填】标注方式占比,【建议填】拍摄设备,【建议填】数据集应用产品,信息录入完毕通知按钮
CocoDet_Animals_20211206_Shenzhen_Zooes,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20211206_Shenzhen_Zooes,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,cover_page.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220424_from_openimages,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220424_from_openimages,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,cover_page2.jpg,Public Dataset,100,Publicly-available,100,unknown,X3,发送通知
CocoDet_Animals_20220524_pano,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220524_pano,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Panoramic Image,BBox,COCO,20220524_pano.jpg,"Insta360 Product Shooting, WebCrawler","50,50",Annotated-by-R&D,100,"ONER, unknown",X3,发送通知
CocoDet_Animals_20220621_pano,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220621_pano,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Panoramic Image,BBox,COCO,20220621_pano.jpg,"Insta360 Product Shooting, WebCrawler","50,50",Annotated-by-R&D,100,"ONER, unknown",X3,发送通知
CocoDet_Animals_20220629_pano,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220629_pano,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Panoramic Image,BBox,COCO,20220629_pano.jpg,"Insta360 Product Shooting, WebCrawler","50,50",Annotated-by-R&D,100,"ONER, unknown",X3,发送通知
CocoDet_Animals_20220706_2d_neg,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220706_2d_neg,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,20220706_2d_neg.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220720_2d_pov_hand_neg,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220720_2d_pov_hand_neg,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,20220720_2d_pov_hand_neg.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220725_2d_beardoll_neg,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220725_2d_beardoll_neg,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,20220725_2d_beardoll_neg.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220725_benchmark_for_atuoeditor,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220725_benchmark_for_atuoeditor,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,20220725_benchmark_for_atuoeditor.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220804_community,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220804_community,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,20220804_community.jpg,Insta360 Product Shooting,100,Annotated-by-R&D,100,ONER,X3,发送通知
CocoDet_Animals_20220804_dog_from_StanfordDogDatasets,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220804_dog_from_StanfordDogDatasets,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,CocoDet_Animals_20220804_dog_from_StanfordDogDatasets.jpg,Public Dataset,100,Annotated-by-R&D,100,unknown,X3,发送通知
CocoDet_Animals_20220809_2d_painting_neg,/media/3_sdc/datasets/Insta360Det/CocoDet_Animals_20220809_2d_painting_neg,AI_Group_1,林晓帆,Computer Vision,"Object, Detection",,animals,Image,BBox,COCO,CocoDet_Animals_20220809_2d_painting_neg.jpg,WebCrawler,100,Annotated-by-R&D,100,unknown,X3,发送通知
